mag	dataset_name	sample_id	sgb_id	Unknown	Level of assigned taxonomy	superkingdom	phylum	class	order	family	genus	species	genome_size	# contigs	N50 (contigs)	completeness	contamination	GC	strain_heterogeneity
MASTER_WP4_CSIC_2__P2627__bin.16	MASTER_WP4_CSIC_2	P2627	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2324635	82	40981	95.9375	0.3125	0.4612573587	100
MASTER_WP4_CSIC_2__P2628__bin.25	MASTER_WP4_CSIC_2	P2628	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2284107	94	35670	92.1875	0.625	0.4612104424	100
MASTER_WP4_CSIC_2__P2629__bin.9	MASTER_WP4_CSIC_2	P2629	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2242547	152	21063	96.40625	0	0.4619381444	0
MASTER_WP4_CSIC_2__P2630__bin.16	MASTER_WP4_CSIC_2	P2630	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2223818	132	26752	90.9375	0.390625	0.4619887958	100
MASTER_WP4_CSIC_2__P2631__bin.1	MASTER_WP4_CSIC_2	P2631	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2333354	89	36963	97.8125	0	0.4614443415	0
DeFilippisF_xxxx__DF_16__bin.11	DeFilippisF_xxxx	DF_16	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1821937	413	5016	72.23028274	0.3125	0.461828263	0
DeFilippisF_xxxx__DF_45__bin.9	DeFilippisF_xxxx	DF_45	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1984404	309	7416	81.91237148	1.21875	0.4599784117	25
DeFilippisF_xxxx__DF_4__bin.13	DeFilippisF_xxxx	DF_4	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1119370	141	8733	55.78869048	1.25	0.4639493644	100
DeFilippisF_xxxx__DF_94__bin.2	DeFilippisF_xxxx	DF_94	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2140109	148	21000	96.19791667	2.395833333	0.4623633656	66.67
DeFilippisF_xxxx__DF_95__bin.7	DeFilippisF_xxxx	DF_95	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2467321	161	27123	84.00730519	3.4375	0.458137794	37.5
LandisEA_2021__SRS5652903__bin.3	LandisEA_2021	SRS5652903	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2139728	146	24452	97.5	0	0.462394753	0
LandisEA_2021__SRS5652926__bin.4	LandisEA_2021	SRS5652926	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1944873	36	81492	76.5625	0	0.4632852634	0
LandisEA_2021__SRS5653013__bin.1	LandisEA_2021	SRS5653013	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2221940	41	105960	96.58203125	0.3125	0.4618203012	100
LandisEA_2021__SRS5653126__bin.3	LandisEA_2021	SRS5653126	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2206554	32	107922	99.0625	0	0.4626848017	0
