clade_name	GianvitoDP_2025__SRR31346740	GianvitoDP_2025__SRR31346739	GianvitoDP_2025__SRR31346742	GianvitoDP_2025__SRR31346743	GianvitoDP_2025__SRR31346744	GianvitoDP_2025__SRR31346745	GianvitoDP_2025__SRR31346746	GianvitoDP_2025__SRR31346747	GianvitoDP_2025__SRR31346748	GianvitoDP_2025__SRR31346749
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp_7_21|t__SGB93473	0.0	0.26779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales|f__Geodermatophilaceae|g__Geodermatophilaceae_unclassified|s__Geodermatophilaceae_bacterium_NBWT11|t__SGB16544	0.0	0.25217	0.00142	0.04628	0.00222	0.07471	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharopolyspora|s__Saccharopolyspora_rectivirgula|t__SGB16562	0.0	0.24123	0.0	0.0	0.0	0.6247	0.0	0.0	0.00547	0.0
k__Bacteria|p__Pseudomonadota|c__CFGB5371|o__OFGB5371|f__FGB5371|g__GGB49350|s__GGB49350_SGB69252|t__SGB69252	0.0	0.23979	0.0	0.00812	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus|t__SGB7852	0.0	0.23268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|s__Microlunatus_antarcticus|t__SGB87044	0.0	0.22394	0.16936	0.35184	0.03318	0.16961	0.00086	0.0	0.00296	0.11097
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcoides|s__Rhodococcoides_corynebacterioides|t__SGB15804	0.0	0.21751	0.0	0.0718	0.0	0.11952	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_CFBP_13719|t__SGB206531	0.0	0.20296	0.39271	0.0	0.00519	4.65541	0.34123	0.0	0.85705	2.82261
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus|s__Paracoccus_marcusii|t__SGB10707	0.0	0.20043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_37f|t__SGB11400	0.0	0.1939	0.0	0.0	0.0	0.12735	0.0	0.0	0.0	0.0
